apk_name,sha256,label,feat_size_bytes,feat_dex_count,feat_perm_total,feat_perm_dangerous_count,feat_perm_send_sms,feat_perm_receive_sms,feat_perm_read_sms,feat_perm_call_phone,feat_perm_read_call_log,feat_perm_fine_location,feat_perm_bg_location,feat_perm_read_contacts,feat_perm_get_accounts,feat_perm_read_external,feat_perm_write_external,feat_perm_manage_external,feat_perm_camera,feat_perm_record_audio,feat_perm_request_install,feat_perm_bind_accessibility,feat_perm_alert_window,feat_perm_biometric,feat_perm_receive_boot,feat_perm_foreground_svc,feat_perm_process_calls,feat_perm_read_phone_state,feat_perm_change_network,feat_perm_change_wifi,feat_perm_disable_keyguard,feat_activity_count,feat_service_count,feat_receiver_count,feat_provider_count,feat_api_exec_runtime,feat_api_reflection,feat_api_dynamic_dexload,feat_api_crypto,feat_api_sms_send,feat_api_telephony_read,feat_api_location_access,feat_api_root_check,feat_api_clipboard,feat_api_camera_silent,feat_api_audio_record,feat_cert_present,feat_cert_is_debug,feat_cert_subject_len
8407fed605805f0e7ef9628767d0aff1014e7231549b09f3c0d0cb723f07c48a.apk,8407fed605805f0e7ef9628767d0aff1014e7231549b09f3c0d0cb723f07c48a,1,13346338,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,147
e7eafe7a8babee51e1663bb8e401aea981aa0838287bd84cb0d39d082027112f.apk,e7eafe7a8babee51e1663bb8e401aea981aa0838287bd84cb0d39d082027112f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5145d1b937477ff41adffa14b501e612462a88e52572959b4d08f776e2ffcb0f.apk,5145d1b937477ff41adffa14b501e612462a88e52572959b4d08f776e2ffcb0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e8569ec252caf58f72c43358472f22786cd32685d23c882b4b2e38409cf2e47.apk,0e8569ec252caf58f72c43358472f22786cd32685d23c882b4b2e38409cf2e47,1,2396379,1,16,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,115
332d7af6913e3527547f92e3a36a2f34033a673e41427d3d55c1957d5c9b0fd3.apk,332d7af6913e3527547f92e3a36a2f34033a673e41427d3d55c1957d5c9b0fd3,1,159626,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105
d88db6926a79adbc00722168aceaceeb2043b071e2ca1566254d3d77da98205d.apk,d88db6926a79adbc00722168aceaceeb2043b071e2ca1566254d3d77da98205d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0329be10a5be4350e0d2c15ed265f0f32557d869ce32566a248d4ed3f9a20c16.apk,0329be10a5be4350e0d2c15ed265f0f32557d869ce32566a248d4ed3f9a20c16,1,2123128,1,8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,6,9,3,0,0,1,0,0,0,0,0,0,0,0,1,0,143
c55ce2239e6c528dac9f0e2337d778e384e8bfb8af8467fe75f65e79e6bce1fe.apk,c55ce2239e6c528dac9f0e2337d778e384e8bfb8af8467fe75f65e79e6bce1fe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930ed5d82b1b4968cc903c8615603eaaf7f356c862d706b8ce223a8b71979071.apk,930ed5d82b1b4968cc903c8615603eaaf7f356c862d706b8ce223a8b71979071,1,149295,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105
6b36db89f73ed1965b7cd40f5aadd0b02c4e14cc19fa2c5b480209f8754791f8.apk,6b36db89f73ed1965b7cd40f5aadd0b02c4e14cc19fa2c5b480209f8754791f8,1,361930,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105
